x1,y1,x2,y2,x3,y3,d12,d23,d13,v1,v2,v3
-1.000000,-1.000000,1.000000,-0.481200,1.000000,-0.490653,0.986326,0.678692,0.978344,0.000000,0.109758,0.607795
-0.999982,-1.000000,0.999982,-0.479325,0.999958,-0.487907,0.986307,0.678678,0.978304,0.001332,0.109770,0.607790
-0.999955,-1.000000,0.999956,-0.477450,0.999896,-0.485162,0.986281,0.678686,0.978248,0.002663,0.109787,0.607770
-0.999919,-1.000000,0.999921,-0.475576,0.999812,-0.482416,0.986250,0.678715,0.978178,0.003995,0.109810,0.607733
-0.999874,-1.000000,0.999877,-0.473701,0.999708,-0.479672,0.986212,0.678766,0.978093,0.005327,0.109838,0.607680
-0.999819,-1.000000,0.999825,-0.471826,0.999583,-0.476928,0.986168,0.678839,0.977992,0.006659,0.109871,0.607610
-0.999756,-1.000000,0.999763,-0.469952,0.999437,-0.474185,0.986119,0.678934,0.977877,0.007990,0.109909,0.607525
-0.999684,-1.000000,0.999693,-0.468077,0.999271,-0.471443,0.986063,0.679050,0.977747,0.009322,0.109953,0.607424
-0.999603,-1.000000,0.999614,-0.466203,0.999084,-0.468703,0.986001,0.679188,0.977601,0.010654,0.110001,0.607306
-0.999513,-1.000000,0.999527,-0.464329,0.998875,-0.465964,0.985933,0.679347,0.977441,0.011986,0.110055,0.607173
-0.999413,-1.000000,0.999430,-0.462455,0.998647,-0.463226,0.985859,0.679527,0.977266,0.013318,0.110114,0.607023
-0.999305,-0.999999,0.999325,-0.460581,0.998397,-0.460490,0.985780,0.679728,0.977077,0.014650,0.110178,0.606858
-0.999188,-0.999999,0.999211,-0.458707,0.998127,-0.457756,0.985694,0.679951,0.976872,0.015982,0.110248,0.606676
-0.999061,-0.999999,0.999089,-0.456834,0.997836,-0.455024,0.985602,0.680194,0.976652,0.017314,0.110322,0.606479
-0.998926,-0.999999,0.998957,-0.454960,0.997525,-0.452295,0.985504,0.680457,0.976418,0.018646,0.110402,0.606266
-0.998781,-0.999999,0.998817,-0.453087,0.997193,-0.449567,0.985399,0.680742,0.976169,0.019979,0.110486,0.606037
-0.998628,-0.999999,0.998668,-0.451214,0.996841,-0.446842,0.985289,0.681046,0.975905,0.021311,0.110576,0.605793
-0.998466,-0.999998,0.998510,-0.449341,0.996468,-0.444120,0.985173,0.681371,0.975626,0.022644,0.110671,0.605533
-0.998294,-0.999998,0.998343,-0.447469,0.996074,-0.441401,0.985051,0.681715,0.975332,0.023976,0.110772,0.605258
-0.998113,-0.999998,0.998168,-0.445596,0.995661,-0.438684,0.984923,0.682079,0.975024,0.025309,0.110877,0.604967
